,Name,BSE Code,NSE Code,MoneyControl Link,Rediff Link,Sector
126,AMJ Land Holdings Ltd.,,AMJLAND,,https://money.rediff.com/companies/AMJ-Land-Holdings-Ltd/16530010,
127,AML Steel Ltd.,,AMLSTEELBE,,https://money.rediff.com/companies/AML-Steel-Ltd/12190018,
128,Amrutanjan Health Care Ltd.,,AMRUTANJAN,,https://money.rediff.com/companies/Amrutanjan-Health-Care-Ltd/12540004,
129,Amtek Auto Ltd.,,AMTEKAUTOBZ,,https://money.rediff.com/companies/Amtek-Auto-Ltd/10660001,
130,Anant Raj Ltd.,,ANANTRAJ,,https://money.rediff.com/companies/Anant-Raj-Ltd/11540019,
131,Andhra Bank [Merged],,ANDHRABANK,,https://money.rediff.com/companies/Andhra-Bank-Merged/14030021,
132,Andhra Cements Ltd.,,ANDHRACEMTBE,,https://money.rediff.com/companies/Andhra-Cements-Ltd/11510002,
133,Andhra Paper Ltd.,,ANDHRAPAP,,https://money.rediff.com/companies/Andhra-Paper-Ltd/16530001,
134,Andhra Petrochemicals Ltd.,,ANDHRAPET,,https://money.rediff.com/companies/Andhra-Petrochemicals-Ltd/12050004,
135,Andrew Yule & Company Ltd.,,ANDREWYULEBE,,https://money.rediff.com/companies/Andrew-Yule-Company-Ltd/17010048,
136,ANG Industries Ltd.,,ANGINDBZ,,https://money.rediff.com/companies/ANG-Industries-Ltd/10660005,
137,ANI Integrated Services Ltd.,,AISLSM,,https://money.rediff.com/companies/ANI-Integrated-Services-Ltd/16690598,
138,Anik Industries Ltd.,,ANIKINDS,,https://money.rediff.com/companies/Anik-Industries-Ltd/11050031,
139,Anil Special Steel Industries Ltd.,,ASILINDBE,,https://money.rediff.com/companies/Anil-Special-Steel-Industries-Ltd/15540001,
140,Anjani Portland Cement Ltd.,,APCL,,https://money.rediff.com/companies/Anjani-Portland-Cement-Ltd/11520027,
141,Ankit Metal & Power Ltd.,,ANKITMETALBE,,https://money.rediff.com/companies/Ankit-Metal-Power-Ltd/15560023,
142,Ankur Drugs & Pharma Ltd.,,ANKURDRUGSBE,,https://money.rediff.com/companies/Ankur-Drugs-Pharma-Ltd/12610006,
143,Ansal Housing Ltd.,,ANSALHSGBE,,https://money.rediff.com/companies/Ansal-Housing-Ltd/11610001,
